#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
46.31,43.27,42.57,29.03,29.61,30.21,52.77,30.39
46.69,43.31,42.53,29.05,29.61,30.21,53.71,30.39
46.63,43.41,42.39,29.01,29.65,30.23,55.87,30.39
47.17,43.31,42.29,29.03,29.65,30.23,57.03,30.39
47.43,43.39,42.43,29.05,29.65,30.23,58.31,30.41
47.19,43.67,42.15,29.05,29.61,30.23,60.63,30.43
48.19,43.83,42.09,29.03,29.65,30.23,62.29,30.39
49.41,44.41,42.03,29.05,29.63,30.21,63.29,30.43
49.79,44.71,41.31,29.05,29.63,30.21,65.51,30.43
50.61,44.87,41.35,29.03,29.63,30.21,66.89,30.47
52.43,44.67,41.45,29.05,29.67,30.21,67.21,30.43
53.71,45.45,41.27,29.05,29.65,30.23,67.99,30.43
56.31,45.39,41.55,29.03,29.67,30.23,69.23,30.47
58.05,45.89,42.09,29.05,29.63,30.21,71.45,30.47
58.99,47.17,42.31,29.05,29.67,30.25,72.57,30.43
60.09,47.53,42.67,29.03,29.65,30.27,73.75,30.49
61.91,48.53,42.67,29.03,29.67,30.25,74.43,30.47
62.09,49.53,42.69,29.07,29.67,30.25,73.79,30.49
62.39,50.25,42.87,29.05,29.67,30.25,71.45,30.49
62.77,51.15,43.27,29.07,29.67,30.23,69.53,30.51
63.23,52.77,43.11,29.05,29.65,30.27,66.97,30.51
64.87,54.19,43.09,29.03,29.65,30.25,65.11,30.51
65.71,54.81,44.25,29.05,29.67,30.27,62.79,30.53
66.07,55.11,44.53,29.11,29.71,30.27,60.75,30.53
66.81,56.51,44.71,29.05,29.67,30.33,59.49,30.53
67.55,57.31,44.99,29.07,29.69,30.27,58.77,30.55
67.15,57.67,46.03,29.07,29.69,30.35,58.21,30.55
66.11,57.63,46.49,29.07,29.69,30.35,56.73,30.53
64.83,57.87,47.11,29.07,29.71,30.35,55.41,30.55
62.91,58.15,47.87,29.13,29.75,30.35,54.97,30.53
61.37,58.31,48.79,29.07,29.75,30.37,54.23,30.55
59.59,58.53,49.17,29.11,29.77,30.39,53.91,30.53
58.49,58.63,49.59,29.11,29.81,30.39,53.23,30.57
57.43,59.17,49.87,29.13,29.77,30.37,52.65,30.57
56.57,59.27,49.99,29.13,29.79,30.41,52.67,30.59
55.45,59.31,50.11,29.13,29.79,30.41,52.35,30.61
54.19,59.59,50.49,29.13,29.81,30.43,51.75,30.59
53.69,59.37,50.61,29.13,29.81,30.43,51.43,30.55
52.89,59.49,50.89,29.13,29.83,30.43,50.79,30.59
52.45,59.07,50.87,29.15,29.85,30.41,50.35,30.59
52.11,58.89,50.65,29.15,29.85,30.41,49.99,30.61
51.75,58.33,50.93,29.17,29.87,30.45,49.69,30.61
51.05,57.61,50.75,29.17,29.87,30.43,49.05,30.57
50.37,56.99,50.55,29.15,29.87,30.41,49.29,30.59
49.93,56.45,50.25,29.15,29.89,30.43,49.03,30.57
49.49,56.05,49.91,29.17,29.89,30.43,48.65,30.57
49.03,55.37,49.51,29.21,29.91,30.45,48.27,30.59
